province_id,province_name,lat,lng
BC,British Columbia,50.8378,-118.9703
NB,New Brunswick,46.2172,-64.2822
MB,Manitoba,53.7356,-101.395
ON,Ontario,45.6,-77.5
ON,Ontario,42.8489,-81.9049
SK,Saskatchewan,51.8261,-106.5416
QC,Quebec,46.0516,-70.9374
SK,Saskatchewan,49.6167,-105.9833
QC,Quebec,46.7167,-79.1
AB,Alberta,49.4239,-112.8683
QC,Quebec,46.0833,-73.2167
NB,New Brunswick,46.4719,-64.7249
NB,New Brunswick,44.69,-66.82
QC,Quebec,45.6,-73.1
MB,Manitoba,49.1779,-100.0955
QC,Quebec,46.512,-71.077
QC,Quebec,46.62,-71.73
ON,Ontario,45.4,-78.75
QC,Quebec,45.5,-72.3167
NB,New Brunswick,45.2916,-66.8501
NB,New Brunswick,47.6334,-65.1803
QC,Quebec,45.5667,-72.85
BC,British Columbia,51.65,-120.0333
ON,Ontario,45,-77.25
BC,British Columbia,50.6864,-121.9364
NL,Newfoundland and Labrador,47.05,-55.18
NL,Newfoundland and Labrador,47.1,-55.7833
QC,Quebec,45.35,-73.8
NB,New Brunswick,46.1497,-66.1067
SK,Saskatchewan,52.6206,-106.3967
BC,British Columbia,50.8189,-119.6844
QC,Quebec,45.8611,-76.7392
QC,Quebec,45.7833,-73.15
SK,Saskatchewan,51.5,-107.05
MB,Manitoba,49.5363,-96.7634
QC,Quebec,45.85,-70.6333
QC,Quebec,46.1,-72.3667
NS,Nova Scotia,44.3833,-64.3167
NB,New Brunswick,47.2569,-66.2613
QC,Quebec,48.8833,-72.45
NL,Newfoundland and Labrador,51.3725,-55.5947
QC,Quebec,49.0485,-68.6814
QC,Quebec,46.2333,-73.0167
QC,Quebec,46.7667,-70.95
NL,Newfoundland and Labrador,49.6667,-54.1833
QC,Quebec,46.2167,-71.0667
NS,Nova Scotia,44.9894,-63.4736
AB,Alberta,53.25,-113.7833
BC,British Columbia,48.52,-123.5
QC,Quebec,45.3,-74.3
NL,Newfoundland and Labrador,47.63,-52.68
QC,Quebec,46.6436,-72.0236
SK,Saskatchewan,51.6339,-102.4369
NB,New Brunswick,46.5254,-66.2085
BC,British Columbia,49.3144,-122.8564
NB,New Brunswick,47.0208,-65.0302
QC,Quebec,46.27,-73.78
QC,Quebec,51.3674,-78.7069
NL,Newfoundland and Labrador,49.6444,-54.7436
NB,New Brunswick,47.5135,-67.3921
QC,Quebec,49.05,-76.9833
SK,Saskatchewan,50.4667,-104.4167
AB,Alberta,50.3494,-113.7717
QC,Quebec,46.0667,-72.8167
NL,Newfoundland and Labrador,49.15,-53.5833
NB,New Brunswick,45.1924,-66.6858
MB,Manitoba,50.9837,-98.3572
SK,Saskatchewan,52.059,-107.979
SK,Saskatchewan,53.4236,-109.7772
NB,New Brunswick,46.6221,-67.2953
NL,Newfoundland and Labrador,47.65,-52.9333
QC,Quebec,46.5167,-71.3667
QC,Quebec,46.8693,-71.3628
QC,Quebec,46.5,-71.1333
QC,Quebec,45.4833,-72.75
QC,Quebec,45.8833,-73.1667
QC,Quebec,48.5833,-71.5333
QC,Quebec,46.4,-71.0667
QC,Quebec,45.05,-74.1
QC,Quebec,45.5333,-72.05
QC,Quebec,45.6167,-75.0167
MB,Manitoba,50.3304,-100.9803
BC,British Columbia,48.7666,-123.6743
QC,Quebec,46.0667,-73.1333
ON,Ontario,45.7167,-82.2
SK,Saskatchewan,49.9167,-109.4667
NL,Newfoundland and Labrador,48.6667,-54.05
AB,Alberta,53.3703,-112.6667
ON,Ontario,44.5833,-77.5167
QC,Quebec,45.65,-72.6833
QC,Quebec,45.2,-73.2167
BC,British Columbia,50.4911,-120.8153
QC,Quebec,46.5833,-72.2
QC,Quebec,46.6333,-70.6667
NU,Nunavut,64.3287,-96.0308
BC,British Columbia,48.9504,-123.7637
NL,Newfoundland and Labrador,47.767,-52.767
QC,Quebec,46.1,-71.5667
BC,British Columbia,50.5903,-127.0847
NS,Nova Scotia,44.6222,-65.7606
QC,Quebec,47.2091,-74.3833
QC,Quebec,46.7167,-70.8833
ON,Ontario,48.1833,-89.4667
AB,Alberta,53.9489,-113.1067
QC,Quebec,47.6817,-69.625
QC,Quebec,45.6833,-73.2
QC,Quebec,46.3667,-73.35
QC,Quebec,48.1,-65.6833
ON,Ontario,42.9931,-82.4083
NB,New Brunswick,47.4321,-65.4383
QC,Quebec,45.2667,-71.9
QC,Quebec,46.33,-73.48
QC,Quebec,46.4,-75.0333
QC,Quebec,48.6686,-74.9289
SK,Saskatchewan,51.7578,-103.0008
MB,Manitoba,50.7494,-99.485
MB,Manitoba,49.1775,-100.4322
MB,Manitoba,49.6208,-99.8481
MB,Manitoba,49.1775,-100.7019
MB,Manitoba,50.7272,-101.3689
MB,Manitoba,50.3239,-101.2729
MB,Manitoba,49.6208,-100.2581
MB,Manitoba,49.975,-100.2789
MB,Manitoba,49.1775,-98.5408
MB,Manitoba,49.9156,-100.9389
MB,Manitoba,49.4436,-98.7494
MB,Manitoba,51.5364,-100.4981
MB,Manitoba,50.4847,-100.4828
MB,Manitoba,51.9978,-101.3944
MB,Manitoba,49.7094,-98.0736
MB,Manitoba,51.1547,-100.4381
MB,Manitoba,49.6653,-98.5967
MB,Manitoba,50.1964,-100.6342
MB,Manitoba,49.1333,-97.0331
MB,Manitoba,49.6653,-100.6678
MB,Manitoba,50.7272,-100.7408
MB,Manitoba,51.155,-100.7892
MB,Manitoba,49.4306,-100.3103
MB,Manitoba,49.1772,-98.8794
MB,Manitoba,51.0222,-99.4306
MB,Manitoba,49.1331,-99.2797
MB,Manitoba,51.755,-99.9664
MB,Manitoba,51.244,-99.6562
MB,Manitoba,50.8347,-101.0961
MB,Manitoba,50.5061,-99.8156
MB,Manitoba,49.665,-99.3708
MB,Manitoba,49.9308,-98.8356
MB,Manitoba,49.1331,-97.5942
MB,Manitoba,52.1433,-100.9772
NL,Newfoundland and Labrador,48.5492,-58.6236
SK,Saskatchewan,52.0134,-106.2176
QC,Quebec,45.27,-71.95
QC,Quebec,48.5,-71.7667
QC,Quebec,45.85,-72.0667
AB,Alberta,52.3539,-110.2686
NB,New Brunswick,46.6692,-65.0184
ON,Ontario,46.3167,-78.7
BC,British Columbia,55.1333,-121
QC,Quebec,45.4,-73.9833
QC,Quebec,48.7,-71.6833
AB,Alberta,49.8667,-111.3667
QC,Quebec,48.4333,-77.6333
BC,British Columbia,51.6413,-121.3127
NB,New Brunswick,47.6456,-67.3431
NL,Newfoundland and Labrador,48.7833,-54.2167
QC,Quebec,46.0167,-73.5667
ON,Ontario,46.2167,-79.1333
QC,Quebec,49.1667,-68.2
NB,New Brunswick,46.3987,-64.8681
QC,Quebec,45.1667,-73.5167
AB,Alberta,54.395,-116.8092
ON,Ontario,42.7,-82.0167
ON,Ontario,47.8333,-83.4
QC,Quebec,45.9,-73.6667
NB,New Brunswick,45.3432,-66.2868
PE,Prince Edward Island,46.1652,-62.65
QC,Quebec,48.569,-72.2495
QC,Quebec,46.0667,-72.8333
NB,New Brunswick,48.0125,-66.4208
QC,Quebec,48.45,-70.9
AB,Alberta,53.0978,-113.4728
QC,Quebec,46.3667,-70.9167
QC,Quebec,47.9167,-69.5
SK,Saskatchewan,50.6734,-104.7686
ON,Ontario,49.1333,-85.8333
ON,Ontario,43.9579,-77.3534
SK,Saskatchewan,50.2211,-107.8559
BC,British Columbia,49.1275,-125.8852
SK,Saskatchewan,50.7667,-103.7833
AB,Alberta,50.4,-113.25
SK,Saskatchewan,50.5333,-103.6667
NB,New Brunswick,47.7839,-65.7159
NL,Newfoundland and Labrador,52.9081,-66.869
QC,Quebec,48.3,-68.87
SK,Saskatchewan,51.6841,-105.4661
ON,Ontario,44.95,-76.9
QC,Quebec,46.2,-74.4667
QC,Quebec,48.35,-69.4
NB,New Brunswick,46.6189,-64.8385
QC,Quebec,45.2333,-74.3333
QC,Quebec,46.1833,-73.1333
BC,British Columbia,55.1078,-129.4293
QC,Quebec,45.1833,-72.2833
QC,Quebec,45.3167,-73.5164
QC,Quebec,45.1333,-73.2833
SK,Saskatchewan,51.2557,-102.6469
NT,Northwest Territories,62.8184,-115.9933
QC,Quebec,45.97,-71.37
QC,Quebec,45.1833,-73.4167
QC,Quebec,48.5667,-67.6833
AB,Alberta,55.0686,-117.2683
QC,Quebec,46.3833,-75.9167
QC,Quebec,45.0833,-72.3667
QC,Quebec,46.2,-73.6167
QC,Quebec,46.4,-70.35
QC,Quebec,45.3341,-72.3041
QC,Quebec,45.5667,-72.7167
QC,Quebec,46.15,-73.2333
QC,Quebec,45.2167,-73.2833
NS,Nova Scotia,44.9418,-65.0686
NB,New Brunswick,46.1301,-66.2859
SK,Saskatchewan,52.3411,-106.7733
SK,Saskatchewan,51.565,-101.8947
SK,Saskatchewan,50.6463,-104.8676
NL,Newfoundland and Labrador,48.4978,-53.086
QC,Quebec,46.8667,-70.9167
QC,Quebec,45.3833,-73.1
AB,Alberta,49.8731,-112.78
QC,Quebec,48.2479,-69.854
NB,New Brunswick,46.7048,-65.1046
NL,Newfoundland and Labrador,47.7675,-53.2411
QC,Quebec,45.9667,-73
MB,Manitoba,50.64,-97.495
QC,Quebec,46.8833,-71.0667
QC,Quebec,45.95,-70.93
NB,New Brunswick,45.074,-67.0521
BC,British Columbia,54.2292,-125.7625
QC,Quebec,60.0477,-77.2751
NB,New Brunswick,45.6417,-67.0609
QC,Quebec,45.77,-74.25
ON,Ontario,44.2,-77.05
AB,Alberta,53.7603,-112.7778
QC,Quebec,48.4333,-72.0667
QC,Quebec,45.5833,-71.5833
SK,Saskatchewan,51.7667,-104.1833
NU,Nunavut,69.1528,-105.1707
QC,Quebec,46.5667,-72.4667
ON,Ontario,44.2,-76.3833
QC,Quebec,49.7883,-75.9544
QC,Quebec,58.4824,-78.1309
MB,Manitoba,49.2069,-95.8333
ON,Ontario,42.958,-81.4001
QC,Quebec,46.1333,-70.3667
QC,Quebec,45.0833,-73.5833
NS,Nova Scotia,43.7633,-65.3236
QC,Quebec,45.35,-74.22
MB,Manitoba,49.8689,-99.3594
NB,New Brunswick,46.3316,-67.3585
NB,New Brunswick,46.3629,-64.753
BC,British Columbia,49.0953,-117.7344
NB,New Brunswick,46.1313,-67.4713
QC,Quebec,45.8833,-73.15
NL,Newfoundland and Labrador,48.5167,-58.4167
QC,Quebec,47.35,-70
BC,British Columbia,48.9358,-125.5433
QC,Quebec,45.5333,-74.2
BC,British Columbia,51.1803,-120.1261
MB,Manitoba,51.0825,-97.6611
ON,Ontario,46.05,-79.55
QC,Quebec,45.15,-73.6833
SK,Saskatchewan,49.651,-108.412
NB,New Brunswick,46.5017,-67.7067
NB,New Brunswick,46.9901,-66.4336
QC,Quebec,48.1333,-66.3167
SK,Saskatchewan,52.65,-106.3333
QC,Quebec,46.0236,-72.9391
NB,New Brunswick,47.2333,-65.05
NL,Newfoundland and Labrador,47.7086,-52.7144
NU,Nunavut,69.3817,-81.6811
MB,Manitoba,49.4065,-96.8603
BC,British Columbia,49.5886,-119.5838
QC,Quebec,46.4833,-72.9667
MB,Manitoba,49.6033,-96.7006
NB,New Brunswick,47.9667,-66.45
QC,Quebec,48.6017,-68.1227
MB,Manitoba,50.4397,-99.5389
QC,Quebec,45.2833,-73.4167
ON,Ontario,46.2833,-83.2
QC,Quebec,46.45,-72.35
MB,Manitoba,49.7981,-100.2575
QC,Quebec,45.7833,-73.1833
QC,Quebec,47.4,-69.95
QC,Quebec,45.18,-74.13
QC,Quebec,45.58,-70.83
MB,Manitoba,49.1331,-96.5158
QC,Quebec,46,-72.92
QC,Quebec,46.3167,-73.65
QC,Quebec,45.6833,-73.1833
QC,Quebec,46.0446,-73.1308
ON,Ontario,49.0153,-88.2683
QC,Quebec,48.7833,-67.7
QC,Quebec,45.7333,-72.7333
QC,Quebec,45.0467,-73.9005
NL,Newfoundland and Labrador,47.4833,-55.8333
NL,Newfoundland and Labrador,48.9372,-57.9
QC,Quebec,45.82,-74.22
SK,Saskatchewan,53.124,-109.7885
QC,Quebec,46.3667,-71.6167
MB,Manitoba,50.1964,-100.2167
SK,Saskatchewan,50.488,-104.269
MB,Manitoba,50.5563,-100.1674
PE,Prince Edward Island,46.4333,-63.65
NL,Newfoundland and Labrador,47.28,-52.83
NU,Nunavut,72.6808,-77.7503
BC,British Columbia,49.6405,-124.9406
QC,Quebec,45.9833,-72.2333
ON,Ontario,43.1036,-80.424
QC,Quebec,46.8667,-71.6167
QC,Quebec,46.0667,-70.8
BC,British Columbia,49.3008,-124.4049
ON,Ontario,48.8,-87.1
QC,Quebec,49.7819,-74.8544
QC,Quebec,45.9667,-70.8333
QC,Quebec,45.67,-72.08
ON,Ontario,46.4833,-84.0667
QC,Quebec,46.2333,-76.0167
QC,Quebec,48,-69.05
BC,British Columbia,50.2434,-117.8002
NB,New Brunswick,46.4435,-67.6152
QC,Quebec,46.6667,-71.5833
BC,British Columbia,49.9026,-119.5699
NL,Newfoundland and Labrador,49.0156,-58.1678
BC,British Columbia,54.4431,-124.2542
QC,Quebec,46.8833,-70.7167
NB,New Brunswick,47.5634,-68.3693
QC,Quebec,50.233,-66.3947
NB,New Brunswick,46.7393,-67.6984
QC,Quebec,52.3382,-75.1977
SK,Saskatchewan,53.3545,-106.2553
QC,Quebec,45.6,-76.4833
QC,Quebec,45.8667,-72.2667
QC,Quebec,45.83,-71.08
QC,Quebec,46.8667,-71.0167
QC,Quebec,46.5167,-71.6
QC,Quebec,45.6333,-74.6
QC,Quebec,49.1167,-68.4
QC,Quebec,46.1167,-73.6
QC,Quebec,45.8,-72.1833
NL,Newfoundland and Labrador,47.6472,-53.2233
NB,New Brunswick,46.9455,-65.2893
QC,Quebec,46.0833,-73.35
BC,British Columbia,50.7256,-121.2806
NL,Newfoundland and Labrador,47.5447,-53.2824
QC,Quebec,45.0833,-73.4167
NB,New Brunswick,47.9,-65.8167
QC,Quebec,45.8833,-72.7667
QC,Quebec,45.0833,-73.1333
QC,Quebec,50.2114,-66.1911
QC,Quebec,45.7833,-75.1
BC,British Columbia,49.3022,-124.4727
NB,New Brunswick,47.558,-68.3082
QC,Quebec,46.4167,-73.0333
AB,Alberta,53.8328,-113.4189
NB,New Brunswick,45.2918,-67.1983
QC,Quebec,46,-72.0833
QC,Quebec,49.75,-77.6333
NB,New Brunswick,45.7005,-65.8079
QC,Quebec,46.05,-74.7667
QC,Quebec,46.0833,-75.6167
NB,New Brunswick,45.1333,-66.8167
AB,Alberta,55.1572,-119.1392
MB,Manitoba,49.6644,-98.9153
AB,Alberta,52.1796,-113.885
QC,Quebec,47.1333,-70.7667
SK,Saskatchewan,52.851,-102.392
MB,Manitoba,50.1707,-95.9547
ON,Ontario,45.3167,-77.4
SK,Saskatchewan,49.6333,-102.2667
BC,British Columbia,49.2025,-119.8294
QC,Quebec,45.6,-71.97
BC,British Columbia,49.7769,-126.0514
QC,Quebec,46.65,-72.1333
NL,Newfoundland and Labrador,47.3158,-52.8103
SK,Saskatchewan,52.3667,-106.9667
SK,Saskatchewan,53.6052,-109.4298
NB,New Brunswick,46.8363,-67.1913
NU,Nunavut,67.8055,-115.3223
QC,Quebec,46.5333,-70.7667
NB,New Brunswick,46.0789,-67.3124
QC,Quebec,62.2013,-75.6337
NU,Nunavut,66.1436,-65.6829
QC,Quebec,45.2,-73.98
ON,Ontario,51.2722,-80.6431
ON,Ontario,47.8167,-79.8667
QC,Quebec,47.55,-70.5333
QC,Quebec,46.2667,-70.9833
NB,New Brunswick,45.4812,-65.8738
QC,Quebec,48.0167,-66.6833
NB,New Brunswick,47.1155,-67.4771
QC,Quebec,47.05,-70.85
SK,Saskatchewan,53.5445,-104.4619
QC,Quebec,45.6833,-72.5833
BC,British Columbia,50.63,-119.1314
QC,Quebec,48.0167,-69.3333
BC,British Columbia,49.3,-121.7819
QC,Quebec,48.6667,-79.2
QC,Quebec,45.1333,-73.1833
NB,New Brunswick,45.7122,-65.4719
QC,Quebec,46.3667,-70.6833
MB,Manitoba,49.6653,-101.1444
QC,Quebec,46.3,-71.65
QC,Quebec,48.72,-72.65
QC,Quebec,48.4167,-67.35
QC,Quebec,45.7333,-71.8
MB,Manitoba,49.4034,-99.6298
AB,Alberta,53.8967,-110.8972
SK,Saskatchewan,53.2167,-106.4
QC,Quebec,53.044,-78.7384
NU,Nunavut,64.2237,-76.5405
ON,Ontario,45.75,-79.4
ON,Ontario,48.5693,-89.3573
QC,Quebec,48.2333,-78.2167
QC,Quebec,45.85,-76.7333
NL,Newfoundland and Labrador,48.9833,-57.95
QC,Quebec,45.08,-74.25
SK,Saskatchewan,52.33,-109.94
ON,Ontario,45.6289,-79.3436
QC,Quebec,45.719,-72.8463
MB,Manitoba,49.9903,-97.6722
QC,Quebec,45.8873,-71.9244
QC,Quebec,47.1833,-70.2167
QC,Quebec,46.5667,-72.9167
AB,Alberta,55.9855,-113.8566
QC,Quebec,49.0667,-68.5333
QC,Quebec,46,-72.35
MB,Manitoba,53.9056,-94.9412
QC,Quebec,46.75,-72.2667
SK,Saskatchewan,54.7561,-101.8973
NL,Newfoundland and Labrador,47.0733,-55.8217
ON,Ontario,45,-77.9167
QC,Quebec,46.9167,-70.7333
QC,Quebec,46.4667,-70.8
ON,Ontario,45.6667,-79.6333
QC,Quebec,48.0167,-65.3333
SK,Saskatchewan,52.5696,-106.7312
NB,New Brunswick,45.9333,-65.1667
BC,British Columbia,49.1911,-121.7553
NB,New Brunswick,45.6387,-65.6955
SK,Saskatchewan,53.4574,-106.7768
QC,Quebec,45.85,-74.45
NB,New Brunswick,47.8,-64.8333
QC,Quebec,46.2833,-73.0333
YT,Yukon,64.0464,-139.3893
QC,Quebec,45.6333,-71.0333
QC,Quebec,46.8667,-72.4
NS,Nova Scotia,45.1422,-63.3483
BC,British Columbia,56.159,-120.6878
MB,Manitoba,49.99,-97.4592
SK,Saskatchewan,49.1308,-103.0126
NS,Nova Scotia,44.9967,-64.1634
QC,Quebec,45.4,-74.0333
MB,Manitoba,51.42,-98.3733
NB,New Brunswick,45.7848,-65.3037
AB,Alberta,53.715,-111.7461
SK,Saskatchewan,53.4435,-107.4495
