province_id,province_name,lat,lng
AB,Alberta,50.0689,-112.0975
ON,Ontario,43.5615,-81.6983
SK,Saskatchewan,54.3531,-109.5575
AB,Alberta,51.3189,-113.6106
QC,Quebec,48.6667,-71.5333
NB,New Brunswick,47.6912,-65.29
QC,Quebec,47.9219,-73.7872
QC,Quebec,46.55,-70.9833
QC,Quebec,48.2333,-70.2
AB,Alberta,50.7833,-112.4667
NS,Nova Scotia,45.3998,-64.3312
BC,British Columbia,49.3926,-119.5955
NL,Newfoundland and Labrador,48.4275,-58.4778
NT,Northwest Territories,61.8082,-121.3199
QC,Quebec,45.0155,-74.5769
QC,Quebec,45.7667,-72.3
ON,Ontario,49.4167,-91.6667
ON,Ontario,43.9741,-79.1316
MB,Manitoba,50.3858,-97.2611
NB,New Brunswick,46.4058,-67.5278
NB,New Brunswick,45.1836,-66.3514
QC,Quebec,47.7667,-69.6167
NL,Newfoundland and Labrador,46.9244,-55.3928
NS,Nova Scotia,45.7306,-63.8733
MB,Manitoba,50.2406,-99.8056
NL,Newfoundland and Labrador,47.8753,-55.8414
NB,New Brunswick,45.3822,-67.3427
QC,Quebec,46.1,-71.8167
AB,Alberta,56.9142,-117.6272
MB,Manitoba,50.4163,-99.2097
QC,Quebec,47.5667,-70.4
QC,Quebec,48.0667,-65.5667
QC,Quebec,46.4,-72.8833
QC,Quebec,48.9,-67.3333
MB,Manitoba,49.2668,-101.1124
NB,New Brunswick,45.9918,-67.0632
QC,Quebec,45.4667,-71.5
QC,Quebec,48.25,-72.18
QC,Quebec,46.65,-70.8
QC,Quebec,47.88,-68.72
QC,Quebec,45.45,-72.5333
