"REF_DATE","GEO","DGUID","Immigrant status","Labour force characteristics","Sex","Age group","UOM","UOM_ID","SCALAR_FACTOR","SCALAR_ID","VECTOR","COORDINATE","VALUE","STATUS","SYMBOL","TERMINATED","DECIMALS"
"2006","Canada","2016A000011124","Total population","Full-time employment","Both sexes","15 to 24 years","Persons","249","thousands","3","v53040093","1.1.4.1.2","1434.5","","","","1"
"2006","Canada","2016A000011124","Total population","Full-time employment","Both sexes","25 to 54 years","Persons","249","thousands","3","v53040094","1.1.4.1.3","10164.2","","","","1"
"2006","Canada","2016A000011124","Total population","Full-time employment","Both sexes","55 years and over","Persons","249","thousands","3","v53040095","1.1.4.1.4","1803.6","","","","1"
"2006","Canada","2016A000011124","Total population","Full-time employment","Males","15 years and over","Persons","249","thousands","3","v53040096","1.1.4.2.1","7735.5","","","","1"
"2006","Canada","2016A000011124","Total population","Full-time employment","Males","15 to 24 years","Persons","249","thousands","3","v53040097","1.1.4.2.2","818.0","","","","1"
"2006","Canada","2016A000011124","Total population","Full-time employment","Males","25 to 54 years","Persons","249","thousands","3","v53040098","1.1.4.2.3","5789.7","","","","1"
"2006","Canada","2016A000011124","Total population","Full-time employment","Males","55 years and over","Persons","249","thousands","3","v53040099","1.1.4.2.4","1127.8","","","","1"
"2006","Canada","2016A000011124","Total population","Full-time employment","Females","15 years and over","Persons","249","thousands","3","v53040100","1.1.4.3.1","5666.8","","","","1"
"2006","Canada","2016A000011124","Total population","Full-time employment","Females","15 to 24 years","Persons","249","thousands","3","v53040101","1.1.4.3.2","616.5","","","","1"
"2006","Canada","2016A000011124","Total population","Full-time employment","Females","25 to 54 years","Persons","249","thousands","3","v53040102","1.1.4.3.3","4374.5","","","","1"
"2006","Canada","2016A000011124","Total population","Full-time employment","Females","55 years and over","Persons","249","thousands","3","v53040103","1.1.4.3.4","675.8","","","","1"
"2006","Canada","2016A000011124","Total population","Part-time employment","Both sexes","15 years and over","Persons","249","thousands","3","v53040104","1.1.5.1.1","2972.7","","","","1"
"2006","Canada","2016A000011124","Total population","Part-time employment","Both sexes","15 to 24 years","Persons","249","thousands","3","v53040105","1.1.5.1.2","1138.7","","","","1"
"2006","Canada","2016A000011124","Total population","Part-time employment","Both sexes","25 to 54 years","Persons","249","thousands","3","v53040106","1.1.5.1.3","1329.9","","","","1"
"2006","Canada","2016A000011124","Total population","Part-time employment","Both sexes","55 years and over","Persons","249","thousands","3","v53040107","1.1.5.1.4","504.1","","","","1"
"2006","Canada","2016A000011124","Total population","Part-time employment","Males","15 years and over","Persons","249","thousands","3","v53040108","1.1.5.2.1","953.8","","","","1"
"2006","Canada","2016A000011124","Total population","Part-time employment","Males","15 to 24 years","Persons","249","thousands","3","v53040109","1.1.5.2.2","478.1","","","","1"
"2006","Canada","2016A000011124","Total population","Part-time employment","Males","25 to 54 years","Persons","249","thousands","3","v53040110","1.1.5.2.3","281.6","","","","1"
"2006","Canada","2016A000011124","Total population","Part-time employment","Males","55 years and over","Persons","249","thousands","3","v53040111","1.1.5.2.4","194.0","","","","1"
"2006","Canada","2016A000011124","Total population","Part-time employment","Females","15 years and over","Persons","249","thousands","3","v53040112","1.1.5.3.1","2018.9","","","","1"
